"gene","CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","mucosal invariant T cell","double negative thymocyte"
"ENSG00000000419",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000000457",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000000938",0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000000971",0,0,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000001036",0,0,0,0,1,0,1,0,0,0,0,0,0
"ENSG00000001084",0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSG00000001167",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000001461",0,0,0,0,1,1,1,0,0,0,0,0,0
"ENSG00000001497",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000001561",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000001629",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000001631",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000002016",0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSG00000002330",0,0,0,0,1,1,0,0,0,1,0,0,0
"ENSG00000002549",0,0,0,0,0,1,0,0,0,0,1,0,0
"ENSG00000002586",0,0,0,1,1,0,1,0,0,1,1,1,0
"ENSG00000002822",0,0,0,0,0,1,1,0,0,0,1,1,0
"ENSG00000002834",0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSG00000003056",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000003393",0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000003400",0,0,0,0,1,1,1,1,0,0,0,0,0
"ENSG00000003402",0,0,0,0,0,1,0,0,0,0,1,1,0
"ENSG00000003509",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000003756",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000004059",0,0,0,0,0,1,0,0,0,0,1,1,0
"ENSG00000004142",0,0,0,0,0,1,1,0,0,0,0,1,0
"ENSG00000004399",0,0,0,0,0,0,0,0,0,1,1,1,0
"ENSG00000004455",0,0,0,0,0,1,1,0,0,0,0,1,0
"ENSG00000004468",1,0,0,0,1,1,1,0,0,0,0,0,0
"ENSG00000004478",0,0,1,0,1,1,0,0,0,0,0,0,0
"ENSG00000004487",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000004534",0,0,0,0,1,1,1,0,0,0,0,0,0
"ENSG00000004700",0,0,0,0,0,1,0,0,1,0,0,0,0
"ENSG00000004779",0,0,0,0,0,1,0,0,0,0,1,1,0
"ENSG00000004897",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000004961",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000004975",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000005020",0,0,0,0,1,0,1,1,0,1,1,0,0
"ENSG00000005022",0,0,0,0,1,1,0,0,0,1,1,1,0
"ENSG00000005059",0,0,1,0,0,1,0,0,0,1,0,0,0
"ENSG00000005075",0,0,0,0,1,1,0,0,0,0,1,1,0
"ENSG00000005100",0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000005102",0,0,0,1,1,0,1,0,0,0,0,0,0
"ENSG00000005156",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000005175",0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSG00000005187",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000005194",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000005206",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000005302",0,0,0,0,1,1,0,0,0,1,0,0,0
"ENSG00000005339",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000005436",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000005448",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000005469",0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000005483",0,0,0,1,1,1,1,1,0,1,1,0,0
"ENSG00000005486",0,0,0,1,1,0,1,1,1,1,1,0,0
"ENSG00000005700",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000005801",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000005810",0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000005812",0,0,0,0,1,1,0,1,0,0,0,0,0
"ENSG00000005844",0,0,0,0,1,1,1,0,0,0,0,0,0
"ENSG00000005882",0,0,0,0,0,1,0,0,0,0,1,0,0
"ENSG00000005889",0,0,0,0,1,1,0,0,0,0,0,1,0
"ENSG00000005893",0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSG00000006007",0,0,0,0,1,1,1,0,0,1,1,0,0
"ENSG00000006015",0,0,0,0,0,1,0,1,0,0,0,1,0
"ENSG00000006025",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000006125",0,0,0,0,1,1,1,0,0,0,0,0,0
"ENSG00000006194",0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000006282",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000006451",0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000006459",0,0,0,0,0,1,0,0,0,1,1,0,0
"ENSG00000006555",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000006576",0,0,0,0,0,1,1,0,0,0,1,0,0
"ENSG00000006625",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000006634",0,0,0,0,0,0,1,0,0,1,1,0,0
"ENSG00000006638",0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000006652",0,0,0,0,0,1,0,1,0,0,0,0,0
"ENSG00000006659",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000006695",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000006712",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000006715",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000006740",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000006744",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000006757",0,0,0,0,0,1,0,0,0,1,0,0,0
"ENSG00000006831",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000006837",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000007038",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000007047",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000007080",0,0,0,0,0,1,0,0,0,1,1,1,0
"ENSG00000007129",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000007168",0,0,0,0,0,1,0,0,0,1,1,0,0
"ENSG00000007202",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000007255",0,0,0,0,0,1,0,0,0,1,0,1,0
"ENSG00000007264",0,0,0,0,0,1,0,0,0,1,1,0,0
"ENSG00000007312",0,0,0,0,0,1,0,0,0,0,0,0,0
