"donor_id","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta T cell","mucosal invariant T cell","double negative thymocyte"
"1_1",1,28,15,222,28,215,6,4,252,23,0,0,0
"2_2",1,60,24,219,39,342,27,62,297,13,1,3,0
"3_3",0,18,12,173,76,170,33,15,157,8,0,10,1
"4_4",0,25,23,417,62,353,22,13,130,6,0,9,1
"6_6",0,12,54,405,67,390,15,10,112,13,1,4,1
"7_7",0,4,33,417,37,283,13,7,186,2,0,5,0
"8_8",0,35,3,90,9,101,27,5,272,36,0,5,0
"9_9",0,4,33,490,119,179,9,11,10,0,0,2,0
"10_10",1,3,39,263,14,213,15,4,78,6,0,0,1
"11_11",0,7,49,282,5,204,10,4,40,3,1,0,0
"12_12",2,39,38,310,77,429,29,39,387,15,3,15,13
"13_13",0,19,51,222,11,360,73,21,139,12,1,18,1
"15_15",0,11,17,140,33,247,21,10,147,3,2,0,0
"16_16",0,11,20,414,41,281,45,32,166,50,0,14,1
"17_17",0,31,14,94,24,209,44,4,283,4,0,10,2
"18_18",2,19,13,89,9,131,10,4,308,13,1,0,1
"19_19",0,22,25,147,10,432,32,16,226,19,0,3,2
"23_23",2,27,14,128,47,161,22,3,206,10,0,9,1
"24_24",0,5,36,152,11,270,27,17,253,8,3,8,5
"25_25",3,34,18,239,31,306,25,12,209,8,1,8,2
"27_27",0,69,20,143,24,255,26,8,249,322,0,1,0
"28_28",1,2,22,336,33,314,22,20,119,6,0,1,0
"29_29",0,32,43,462,42,289,10,19,70,4,1,5,6
"30_30",0,16,25,312,75,298,20,60,153,3,0,4,1
"33_33",0,8,42,567,32,270,5,12,58,3,0,1,2
"35_35",0,21,24,160,14,182,10,5,98,3,0,7,5
"36_36",0,7,20,107,9,369,29,15,55,0,0,4,1
"37_37",0,9,27,275,42,239,19,20,126,16,2,3,1
"38_38",0,101,10,86,12,198,11,13,388,6,1,5,2
"39_39",2,7,38,214,52,471,58,30,166,7,1,1,1
"40_40",0,15,16,90,2,234,41,5,133,5,0,11,0
"41_41",0,23,40,180,6,308,20,3,290,25,1,1,2
"42_42",0,24,34,352,200,477,46,21,101,4,0,2,1
"43_43",0,24,30,366,209,316,40,13,68,9,1,86,1
"44_44",0,20,20,163,27,174,25,6,64,10,0,1,0
"45_45",0,2,22,170,11,75,4,6,78,1,0,2,1
"46_46",0,21,4,191,56,262,13,12,178,8,2,4,2
"47_47",0,33,16,188,139,193,19,14,110,7,0,81,3
"48_48",1,2,34,105,6,321,29,19,248,22,2,2,0
"49_49",0,7,37,9,4,378,48,71,239,13,2,1,4
"50_50",0,1,20,50,19,130,24,5,33,0,7,3,2
"51_51",1,6,49,199,50,410,49,23,54,0,1,12,4
"52_52",0,18,20,225,70,409,93,15,149,7,0,6,2
"53_53",0,11,48,427,132,216,55,23,45,4,0,38,2
"54_54",0,19,60,418,28,376,36,9,112,7,2,8,0
"55_55",1,12,43,355,67,327,21,4,85,13,2,10,1
"56_56",0,5,19,98,46,258,23,19,164,3,0,6,1
"57_57",1,11,32,240,84,164,32,20,187,16,1,13,2
"58_58",1,3,48,190,11,297,13,10,37,2,2,6,2
"60_60",1,8,36,445,177,285,10,8,32,2,1,6,2
"61_61",0,17,36,217,91,432,53,27,55,4,2,10,9
"63_63",1,4,37,248,98,423,23,10,39,4,2,4,7
"64_64",0,17,46,361,83,338,28,7,76,4,2,9,6
"65_65",0,2,21,173,24,323,48,11,47,3,0,10,1
"66_66",0,29,32,97,4,277,86,22,348,8,0,15,0
"68_68",0,5,25,199,10,211,19,8,105,28,1,4,0
"69_69",0,2,34,185,24,252,21,7,28,1,1,1,1
"70_70",1,14,23,245,78,327,34,21,85,1,2,26,5
"71_71",1,10,11,82,17,71,14,2,123,60,1,1,1
"72_72",1,13,17,92,18,106,13,4,129,13,4,0,8
"75_75",2,2,26,38,7,236,28,14,226,29,1,1,2
"76_76",0,7,14,111,34,158,20,29,59,2,0,2,0
"77_77",0,10,15,262,110,433,37,93,134,9,0,5,2
"78_78",0,15,15,157,41,316,33,24,140,0,0,24,2
"79_79",0,10,20,285,88,252,32,15,46,6,0,6,1
"81_81",0,13,71,456,76,563,69,75,157,2,0,23,4
"82_82",0,8,47,442,26,296,30,29,90,1,3,6,1
"83_83",0,6,33,231,73,314,15,20,103,3,1,3,1
"84_84",0,8,15,131,50,362,137,18,207,50,1,0,1
"85_85",0,7,23,207,35,313,30,21,93,2,0,11,9
"86_86",1,43,13,113,60,284,70,20,305,19,0,8,4
"87_87",0,5,6,52,3,130,17,10,77,7,0,1,1
"88_88",0,2,8,6,3,19,5,0,29,14,0,1,0
"89_89",1,10,25,45,18,262,45,47,121,16,2,3,1
"90_90",10,3,32,41,7,141,10,11,86,16,10,5,3
"91_91",1,5,32,152,33,211,21,42,431,59,0,1,0
"92_92",1,11,21,106,12,172,18,4,249,36,1,4,7
"93_93",0,2,35,266,35,237,18,10,37,6,2,6,3
"95_95",0,8,33,175,10,272,35,20,59,5,0,15,0
"96_96",0,17,27,161,49,352,40,13,260,8,2,13,1
"97_97",0,12,46,327,118,486,53,21,133,12,4,26,0
"98_98",0,13,114,518,92,259,48,20,73,16,1,25,0
"99_99",0,12,58,555,51,311,59,9,109,32,0,4,1
"101_101",0,7,47,307,4,407,72,3,135,31,0,0,1
"102_102",0,89,35,241,68,201,51,6,269,38,1,21,1
"104_104",0,12,33,221,54,145,31,9,238,18,0,10,4
"105_105",0,21,83,600,164,645,54,32,102,7,1,11,9
"106_106",2,28,28,98,9,238,37,10,246,39,0,6,0
"107_107",0,7,55,287,28,234,24,6,90,5,2,1,0
"108_108",0,4,67,298,9,303,24,12,36,2,0,3,1
"109_109",1,100,44,94,6,367,132,20,449,26,0,8,0
"110_110",0,23,55,165,19,484,36,17,111,14,1,3,4
"111_111",0,6,36,115,12,508,63,20,480,21,2,4,0
"112_112",0,8,52,299,14,295,28,5,57,27,1,8,0
"113_113",1,16,21,129,26,226,50,42,224,72,0,6,0
"114_114",1,13,57,270,79,419,55,6,183,14,2,18,4
"116_116",0,37,21,90,16,331,67,8,445,53,0,6,0
"117_117",0,11,43,356,9,286,16,5,91,19,0,4,0
"119_119",1,24,17,160,126,346,75,20,106,4,1,38,6
