"cell_type","n_cells"
"central memory CD4-positive, alpha-beta T cell",289000
"naive thymus-derived CD4-positive, alpha-beta T cell",259012
"effector memory CD8-positive, alpha-beta T cell",161051
"naive thymus-derived CD8-positive, alpha-beta T cell",52538
"effector memory CD4-positive, alpha-beta T cell",31261
"regulatory T cell",26531
"gamma-delta T cell",18922
"CD4-positive, alpha-beta cytotoxic T cell",17993
"central memory CD8-positive, alpha-beta T cell",16409
"mucosal invariant T cell",8835
"double negative thymocyte",1824
"CD4-positive, alpha-beta T cell",773
"CD8-positive, alpha-beta T cell",305
